"ProductKey","CultureName","ProductDescription"
"210","Afrikaans","Ons ligste en beste-gehalte aluminiumraam gemaak van die jongste allooi; dit word gesweis en getemper vir krag. Ons nuwe ontwerp bied maksimum gemak en werkverrigting."
"210","Albanian","""Trupi ynë prej alumini më të lehtë dhe me cilësinë më të mirë, i prodhuar nga aliazhi më i ri; është salduar dhe kalitur që të ketë rezistencë. Modeli ynë novator ka si rezultat një rehati dhe rendiment maksimal."""
"210","Basque","""Gure kalitate oneneko aluminiozko koadro arinena, aleazio berrienarekin egindakoa. Soldatuta eta beroarekin tratatuta dago sendoagoa izan dadin. Gure diseinu berriztatzaileari esker erosotasun eta funtzionamendu bikainak eskaintzen ditu."""
"210","Bosnian (Cyrillic)","Наш најлакши и висококвалитетни рам израђен од најновије легуре; заварен и каљен да пружи већу снагу. Наш иновативан дизајн се огледа у максимуму удобности и перформанси."
"210","Bosnian (Latin)","Naš najlakši i visokokvalitetni ram izrađen od najnovije legure; zavaren i kaljen da pruži veću snagu. Naš inovativan dizajn se ogleda u maksimumu udobnosti i performansi."
"210","Brazilian","Nosso quadro de alumínio mais leve e de melhor qualidade feito com a mais nova liga metálica; é soldado e termotratado para ser resistente. Nosso design inovador resulta em conforto e desempenho máximos."
"210","Bulgarian","""Висококачествената и олекотена алуминиева рамка е направена от най-новата сплав, чиято якост е усилена чрез заваряване и термична обработка. Модерният дизайн осигурява максимален комфорт и лекота на използване."""
"210","Catalan","""El nostre quadre d'alumini més lleuger i de la millor qualitat, fabricat amb l'aliatge més actual; està soldat i termotractat per millorar-ne la resistència. El disseny innovador augmenta al màxim el rendiment i la comoditat."""
"210","Chinese - Hongkong","我們的鋁製車架採用最新的合金材料所製成，不但外型輕巧、而且品質優良。為了達到強化效果，骨架另外經過焊接和高溫處理。創新的設計絕對能充分提升踏乘舒適感和單車性能。"
"210","Chinese - Trad","本公司重量最輕、品質最高的鋁製車架，是由最新的合金所製成。為了達到強化效果，骨架另外經過焊接和熱處理。創新的設計保證能充分提高騎乘舒適感和性能。"
"210","Croatian","""Naš najlakši i najkvalitetniji aluminijski okvir izrađen od najnovije legure, zavaren i toplotno obrađen za čvrstoću. Inovativni dizajn omogućuje maksimalnu udobnost i učinkovitost."""
"210","Czech","Náš nejlehčí hliníkový rám nejvyšší kvality vyrobený z nejnovější slitiny; svařovaný a tepelně zpracovaný pro opravdovou pevnost. Pokrokový design poskytuje maximální pohodlí a splňuje špičkové požadavky."
"210","Danish","""Vores letteste og bedste aluminiumstel, der er lavet af den nyeste legering. Stellet er svejset og varmebehandlet for at give det ekstra styrke. Vores innovative design giver maksimal komfort og ydeevne."""
"210","Dutch","""Ons lichtste aluminium frame van de beste kwaliteit, van de nieuwste legering. Gelast en getemperd. Ons innovatieve design resulteert in maximaal comfort en maximale prestaties."""
"210","Estonian","""Meie kergeim ja kvaliteetseim alumiiniumraam, mis valmistatud uusimast sulamist ning on tugevuse tagamiseks keevitatud ja termiliselt töödeldud. Meie uuendusliku kujunduse tulemuseks on maksimaalne mugavus ja toimivus."""
"210","Farsi","""ُسبک ترین و یا کیفیت ترین بدنه آلومینیومی ساخت ما که از جدیدترین آلیاژ ساخته شده است؛ این بدنه برای استحکام بیشتر، جوشکاری و حرارت داده شده است. طراحی مبتکرانه ما حداکثر راحتی و بهترین عملکرد را به ارمغان می آورد."""
"210","Finnish","""Kevein ja laadukkain alumiinirunkomme uusimmasta seoksesta, vahvistettu hitsaamalla ja lämpökäsittelyllä. Innovatiivisen suunnittelumme tuloksena on maksimaalinen mukavuus ja suorituskyky."""
"210","Galician","""O noso cadro de aluminio, máis lixeiro e de mellor calidade, feito coa aliaxe máis moderna, está soldado e tratado con calor para gañar fortaleza. O noso deseño innovador ten como resultado a máxima comodidade e prestacións."""
"210","Greek","Το πιο ελαφρύ πλαίσιό μας με ανώτατη ποιότητα. Κατασκευασμένο από το πιο σύγχρονο κράμα αλουμινίου. Η συγκόλληση και η θερμική επεξεργασία του εγγυώνται μέγιστη αντοχή. Η καινοτόμος σχεδίαση αποφέρει τη μεγαλύτερη άνεση και τις καλύτερες επιδόσεις."
"210","Gujrati","નવામાં નવી મિશ્ર ધાતુમાંથી બનાવવામાં આવેલી અમારી હળવામાં હળવી તથા ઉત્તમ ગુણવત્તાવાળી ઍલ્યુમિનિયમ ફ્રેમ; મજબૂતી માટે તેનું ઝારણ તથા ઉષ્ણતામાં પ્રક્રિયાકૃત કરવામાં આવ્યું છે. અમારી રચનાત્મક ડિઝાઇન મહત્તમ સગવડ તથા કાર્યપ્રદર્શન પ્રદાન કરે છે. "
"210","Hindi","हमारी सबसे हल्की और अच्छी गुणवत्ता वाली एल्युमीनियम की फ़्रेम ताज़ा अयस्क से बनी है; मज़बूती के लिए इसे तपाया और वेल्ड किया जाता है. हमारे नवीन डिज़ाइन के परिणामस्वरूप यह बहुत आरामदायक है और अधिकतम प्रदर्शन देती है. "
